timestamp,test-class,test-method,time,description,result
"2022-06-03 16:54:56.777","acme.testing.inventor.pomp.InventorPompUpdateTest","positiveTest",6621,""[1] recordIndex=0, name=name-test-1, explanation=explanation-test-1, startDate=2030/06/10 12:34, finishDate=2030/06/21 10:21, expenditure=EUR 20.19, moreInfo=null"","Cannot find 'By.xpath: //div[@id='mainMenu']/ul/li[a[normalize-space()='Inventor']]/div[contains(@class, 'dropdown-menu')]/a[normalize-space()='Chimpums']'"
"2022-06-03 16:55:01.703","acme.testing.inventor.pomp.InventorPompUpdateTest","positiveTest",4429,""[2] recordIndex=1, name=name-test-2, explanation=explanation-test-2, startDate=2031/06/10 12:34, finishDate=2031/06/21 10:21, expenditure=EUR 78.99, moreInfo=https://www.google.com"","Cannot find 'By.xpath: //div[@id='mainMenu']/ul/li[a[normalize-space()='Inventor']]/div[contains(@class, 'dropdown-menu')]/a[normalize-space()='Chimpums']'"
"2022-06-03 16:55:13.058","acme.testing.inventor.pomp.InventorPompUpdateTest","negativeTest",10974,""[1] recordIndex=1, name=null, explanation=explanation-test-2, startDate=2031/06/10 12:34, finishDate=2031/06/21 10:21, expenditure=EUR 78.99, moreInfo=https://www.google.com"","OK"
"2022-06-03 16:55:21.83","acme.testing.inventor.pomp.InventorPompUpdateTest","negativeTest",8396,""[2] recordIndex=2, name=hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo ho, explanation=explanation-test-3, startDate=2031/06/10 12:34, finishDate=2031/06/21 10:21, expenditure=EUR 78.99, moreInfo=https://www.google.com"","OK"
"2022-06-03 16:55:30.628","acme.testing.inventor.pomp.InventorPompUpdateTest","negativeTest",8426,""[3] recordIndex=3, name=name-test-4, explanation=null, startDate=2031/06/10 12:34, finishDate=2031/06/21 10:21, expenditure=EUR 78.99, moreInfo=https://www.google.com"","OK"
"2022-06-03 16:55:39.407","acme.testing.inventor.pomp.InventorPompUpdateTest","negativeTest",8445,""[4] recordIndex=4, name=name-test-5, explanation=hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hola mundo hol, startDate=2031/06/10 12:34, finishDate=2031/06/21 10:21, expenditure=EUR 78.99, moreInfo=https://www.google.com"","OK"
"2022-06-03 16:55:48.049","acme.testing.inventor.pomp.InventorPompUpdateTest","negativeTest",8249,""[5] recordIndex=5, name=name-test-6, explanation=explanation-test-6, startDate=null, finishDate=2031/06/21 10:21, expenditure=EUR 78.99, moreInfo=https://www.google.com"","OK"
"2022-06-03 16:55:56.685","acme.testing.inventor.pomp.InventorPompUpdateTest","negativeTest",8286,""[6] recordIndex=6, name=name-test-7, explanation=explanation-test-7, startDate=2019/06/10 12:34, finishDate=2031/06/21 10:21, expenditure=EUR 78.99, moreInfo=https://www.google.com"","OK"
"2022-06-03 16:56:05.348","acme.testing.inventor.pomp.InventorPompUpdateTest","negativeTest",8314,""[7] recordIndex=7, name=name-test-8, explanation=explanation-test-8, startDate=2031/06/10 12:34, finishDate=null, expenditure=EUR 78.99, moreInfo=https://www.google.com"","OK"
